id,name,base_experience,height,weight,types,abilities,moves,stats
58,growlithe,70,7,190,fire,"intimidate, flash-fire, justified","double-kick, headbutt, body-slam, take-down, thrash","hp=55, attack=70, defense=45, special-attack=70, special-defense=50, speed=60"
59,arcanine,194,19,1550,fire,"intimidate, flash-fire, justified","headbutt, body-slam, take-down, double-edge, leer","hp=90, attack=110, defense=80, special-attack=100, special-defense=80, speed=95"
60,poliwag,60,6,124,water,"water-absorb, damp, swift-swim","pound, double-slap, headbutt, body-slam, take-down","hp=40, attack=50, defense=40, special-attack=40, special-defense=40, speed=90"
61,poliwhirl,135,10,200,water,"water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick","hp=65, attack=65, defense=65, special-attack=50, special-defense=50, speed=90"
62,poliwrath,230,13,540,"water, fighting","water-absorb, damp, swift-swim","pound, double-slap, mega-punch, ice-punch, mega-kick","hp=90, attack=95, defense=95, special-attack=70, special-defense=90, speed=70"
63,abra,62,9,195,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=25, attack=20, defense=15, special-attack=105, special-defense=55, speed=90"
64,kadabra,140,13,565,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=40, attack=35, defense=30, special-attack=120, special-defense=70, speed=105"
65,alakazam,225,15,480,psychic,"synchronize, inner-focus, magic-guard","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=55, attack=50, defense=45, special-attack=135, special-defense=95, speed=120"
66,machop,61,8,195,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch","hp=70, attack=80, defense=50, special-attack=35, special-defense=35, speed=35"
67,machoke,142,15,705,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch","hp=80, attack=100, defense=70, special-attack=50, special-defense=60, speed=45"
68,machamp,227,16,1300,fighting,"guts, no-guard, steadfast","karate-chop, mega-punch, fire-punch, ice-punch, thunder-punch","hp=90, attack=130, defense=80, special-attack=65, special-defense=85, speed=55"
69,bellsprout,60,7,40,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip","hp=50, attack=75, defense=35, special-attack=70, special-defense=30, speed=40"
70,weepinbell,137,10,64,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip","hp=65, attack=90, defense=50, special-attack=85, special-defense=45, speed=55"
71,victreebel,221,17,155,"grass, poison","chlorophyll, gluttony","swords-dance, cut, bind, slam, vine-whip","hp=80, attack=105, defense=65, special-attack=100, special-defense=70, speed=70"
72,tentacool,67,9,455,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap","hp=40, attack=40, defense=35, special-attack=50, special-defense=100, speed=70"
73,tentacruel,180,16,550,"water, poison","clear-body, liquid-ooze, rain-dish","swords-dance, cut, bind, headbutt, wrap","hp=80, attack=70, defense=65, special-attack=80, special-defense=120, speed=100"
74,geodude,60,4,200,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt","hp=40, attack=80, defense=100, special-attack=30, special-defense=30, speed=20"
75,graveler,137,10,1050,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, sand-attack, headbutt","hp=55, attack=95, defense=115, special-attack=45, special-defense=45, speed=35"
76,golem,223,14,3000,"rock, ground","rock-head, sturdy, sand-veil","mega-punch, fire-punch, thunder-punch, mega-kick, sand-attack","hp=80, attack=120, defense=130, special-attack=55, special-defense=65, speed=45"
77,ponyta,82,10,300,fire,"run-away, flash-fire, flame-body","stomp, double-kick, headbutt, horn-drill, tackle","hp=50, attack=85, defense=55, special-attack=65, special-defense=65, speed=90"
78,rapidash,175,17,950,fire,"run-away, flash-fire, flame-body","pay-day, swords-dance, stomp, double-kick, headbutt","hp=65, attack=100, defense=70, special-attack=80, special-defense=80, speed=105"
79,slowpoke,63,12,360,"water, psychic","oblivious, own-tempo, regenerator","pay-day, stomp, headbutt, tackle, body-slam","hp=90, attack=65, defense=65, special-attack=40, special-defense=40, speed=15"
80,slowbro,172,16,785,"water, psychic","oblivious, own-tempo, regenerator","mega-punch, pay-day, ice-punch, stomp, mega-kick","hp=95, attack=75, defense=110, special-attack=100, special-defense=80, speed=30"
81,magnemite,65,3,60,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic","hp=25, attack=35, defense=70, special-attack=95, special-defense=55, speed=45"
82,magneton,163,10,600,"electric, steel","magnet-pull, sturdy, analytic","headbutt, tackle, take-down, double-edge, supersonic","hp=50, attack=60, defense=95, special-attack=120, special-defense=70, speed=70"
83,farfetchd,132,8,150,"normal, flying","keen-eye, inner-focus, defiant","razor-wind, swords-dance, cut, gust, whirlwind","hp=52, attack=90, defense=55, special-attack=58, special-defense=62, speed=60"
84,doduo,62,14,392,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick","hp=35, attack=85, defense=45, special-attack=35, special-defense=35, speed=75"
85,dodrio,165,18,852,"normal, flying","run-away, early-bird, tangled-feet","swords-dance, wing-attack, whirlwind, fly, jump-kick","hp=60, attack=110, defense=70, special-attack=60, special-defense=60, speed=110"
86,seel,65,11,900,water,"thick-fat, hydration, ice-body","pay-day, slam, headbutt, horn-drill, body-slam","hp=65, attack=45, defense=55, special-attack=45, special-defense=70, speed=45"
87,dewgong,166,17,1200,"water, ice","thick-fat, hydration, ice-body","pay-day, headbutt, horn-drill, body-slam, take-down","hp=90, attack=70, defense=80, special-attack=70, special-defense=95, speed=70"
88,grimer,65,9,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt","hp=80, attack=80, defense=50, special-attack=40, special-defense=50, speed=25"
89,muk,175,12,300,poison,"stench, sticky-hold, poison-touch","pound, fire-punch, ice-punch, thunder-punch, headbutt","hp=105, attack=105, defense=75, special-attack=65, special-defense=100, speed=50"
90,shellder,61,3,40,water,"shell-armor, skill-link, overcoat","headbutt, tackle, take-down, double-edge, twineedle","hp=30, attack=65, defense=100, special-attack=45, special-defense=25, speed=40"
91,cloyster,184,15,1325,"water, ice","shell-armor, skill-link, overcoat","headbutt, tackle, body-slam, take-down, double-edge","hp=50, attack=95, defense=180, special-attack=85, special-defense=45, speed=70"
92,gastly,62,13,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, disable","hp=30, attack=35, defense=30, special-attack=100, special-defense=35, speed=80"
93,haunter,142,16,1,"ghost, poison",levitate,"fire-punch, ice-punch, thunder-punch, headbutt, mega-drain","hp=45, attack=50, defense=45, special-attack=115, special-defense=55, speed=95"
94,gengar,225,15,405,"ghost, poison",cursed-body,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=60, attack=65, defense=60, special-attack=130, special-defense=75, speed=110"
95,onix,77,88,2100,"rock, ground","rock-head, sturdy, weak-armor","bind, slam, headbutt, tackle, body-slam","hp=35, attack=45, defense=160, special-attack=30, special-defense=45, speed=70"
96,drowzee,66,10,324,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=60, attack=48, defense=45, special-attack=43, special-defense=90, speed=42"
97,hypno,169,16,756,psychic,"insomnia, forewarn, inner-focus","pound, mega-punch, fire-punch, ice-punch, thunder-punch","hp=85, attack=73, defense=70, special-attack=73, special-defense=115, speed=67"
98,krabby,65,4,65,water,"hyper-cutter, shell-armor, sheer-force","vice-grip, guillotine, swords-dance, cut, slam","hp=30, attack=105, defense=90, special-attack=25, special-defense=25, speed=50"
99,kingler,166,13,600,water,"hyper-cutter, shell-armor, sheer-force","vice-grip, guillotine, swords-dance, cut, slam","hp=55, attack=130, defense=115, special-attack=50, special-defense=50, speed=75"
100,voltorb,66,5,104,electric,"soundproof, static, aftermath","headbutt, tackle, take-down, double-edge, sonic-boom","hp=40, attack=30, defense=50, special-attack=55, special-defense=55, speed=100"
101,electrode,172,12,666,electric,"soundproof, static, aftermath","headbutt, tackle, take-down, double-edge, sonic-boom","hp=60, attack=50, defense=70, special-attack=80, special-defense=80, speed=150"
102,exeggcute,65,4,25,"grass, psychic","chlorophyll, harvest","swords-dance, headbutt, take-down, double-edge, psybeam","hp=60, attack=40, defense=80, special-attack=60, special-defense=45, speed=40"
103,exeggutor,186,20,1200,"grass, psychic","chlorophyll, harvest","swords-dance, stomp, headbutt, body-slam, take-down","hp=95, attack=95, defense=85, special-attack=125, special-defense=75, speed=55"
104,cubone,64,4,65,ground,"rock-head, lightning-rod, battle-armor","mega-punch, fire-punch, thunder-punch, swords-dance, double-kick","hp=50, attack=50, defense=95, special-attack=40, special-defense=50, speed=35"
105,marowak,149,10,450,ground,"rock-head, lightning-rod, battle-armor","mega-punch, fire-punch, thunder-punch, swords-dance, mega-kick","hp=60, attack=80, defense=110, special-attack=50, special-defense=80, speed=45"
106,hitmonlee,159,15,498,fighting,"limber, reckless, unburden","mega-punch, swords-dance, double-kick, mega-kick, jump-kick","hp=50, attack=120, defense=53, special-attack=35, special-defense=110, speed=87"
107,hitmonchan,159,14,502,fighting,"keen-eye, iron-fist, inner-focus","comet-punch, mega-punch, fire-punch, ice-punch, thunder-punch","hp=50, attack=105, defense=79, special-attack=35, special-defense=110, speed=76"
108,lickitung,77,12,655,normal,"own-tempo, oblivious, cloud-nine","mega-punch, fire-punch, ice-punch, thunder-punch, swords-dance","hp=90, attack=55, defense=75, special-attack=60, special-defense=75, speed=30"
109,koffing,68,6,10,poison,"levitate, neutralizing-gas, stench","headbutt, tackle, body-slam, take-down, flamethrower","hp=40, attack=65, defense=95, special-attack=60, special-defense=45, speed=35"
110,weezing,172,12,95,poison,"levitate, neutralizing-gas, stench","headbutt, tackle, body-slam, take-down, flamethrower","hp=65, attack=90, defense=120, special-attack=85, special-defense=70, speed=60"
111,rhyhorn,69,10,1150,"ground, rock","lightning-rod, rock-head, reckless","swords-dance, stomp, sand-attack, headbutt, horn-attack","hp=80, attack=85, defense=95, special-attack=30, special-defense=30, speed=25"
112,rhydon,170,19,1200,"ground, rock","lightning-rod, rock-head, reckless","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch","hp=105, attack=130, defense=120, special-attack=45, special-defense=45, speed=40"
113,chansey,395,11,346,normal,"natural-cure, serene-grace, healer","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=250, attack=5, defense=5, special-attack=35, special-defense=105, speed=50"
114,tangela,87,10,350,grass,"chlorophyll, leaf-guard, regenerator","swords-dance, cut, bind, slam, vine-whip","hp=65, attack=55, defense=115, special-attack=100, special-defense=40, speed=60"
115,kangaskhan,172,22,800,normal,"early-bird, scrappy, inner-focus","pound, comet-punch, mega-punch, fire-punch, ice-punch","hp=105, attack=95, defense=80, special-attack=40, special-defense=80, speed=90"
116,horsea,59,4,80,water,"swift-swim, sniper, damp","razor-wind, headbutt, take-down, double-edge, leer","hp=30, attack=40, defense=70, special-attack=70, special-defense=25, speed=60"
117,seadra,154,12,250,water,"poison-point, sniper, damp","headbutt, take-down, double-edge, leer, disable","hp=55, attack=65, defense=95, special-attack=95, special-defense=45, speed=85"
118,goldeen,64,6,150,water,"swift-swim, water-veil, lightning-rod","swords-dance, headbutt, horn-attack, fury-attack, horn-drill","hp=45, attack=67, defense=60, special-attack=35, special-defense=50, speed=63"
119,seaking,158,13,390,water,"swift-swim, water-veil, lightning-rod","swords-dance, headbutt, horn-attack, fury-attack, horn-drill","hp=80, attack=92, defense=65, special-attack=65, special-defense=80, speed=68"
120,staryu,68,8,345,water,"illuminate, natural-cure, analytic","headbutt, tackle, take-down, double-edge, supersonic","hp=30, attack=45, defense=55, special-attack=70, special-defense=55, speed=85"
121,starmie,182,11,800,"water, psychic","illuminate, natural-cure, analytic","headbutt, tackle, take-down, double-edge, water-gun","hp=60, attack=75, defense=85, special-attack=100, special-defense=85, speed=115"
122,mr-mime,161,13,545,"psychic, fairy","soundproof, filter, technician","pound, double-slap, mega-punch, fire-punch, ice-punch","hp=40, attack=45, defense=65, special-attack=100, special-defense=120, speed=90"
123,scyther,100,15,560,"bug, flying","swarm, technician, steadfast","razor-wind, swords-dance, cut, wing-attack, headbutt","hp=70, attack=110, defense=80, special-attack=55, special-defense=80, speed=105"
124,jynx,159,14,406,"ice, psychic","oblivious, forewarn, dry-skin","pound, double-slap, mega-punch, ice-punch, mega-kick","hp=65, attack=50, defense=35, special-attack=115, special-defense=95, speed=95"
125,electabuzz,172,11,300,electric,"static, vital-spirit","mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick","hp=65, attack=83, defense=57, special-attack=95, special-defense=85, speed=105"
126,magmar,173,13,445,fire,"flame-body, vital-spirit","mega-punch, fire-punch, thunder-punch, mega-kick, headbutt","hp=65, attack=95, defense=57, special-attack=100, special-defense=85, speed=93"
127,pinsir,175,15,550,bug,"hyper-cutter, mold-breaker, moxie","vice-grip, guillotine, swords-dance, cut, bind","hp=65, attack=125, defense=100, special-attack=55, special-defense=70, speed=85"
128,tauros,172,14,884,normal,"intimidate, anger-point, sheer-force","stomp, headbutt, horn-attack, horn-drill, tackle","hp=75, attack=100, defense=95, special-attack=40, special-defense=70, speed=110"
129,magikarp,40,9,100,water,"swift-swim, rattled","tackle, hydro-pump, splash, flail, bounce","hp=20, attack=10, defense=55, special-attack=15, special-defense=20, speed=80"
130,gyarados,189,65,2350,"water, flying","intimidate, moxie","bind, headbutt, tackle, body-slam, take-down","hp=95, attack=125, defense=79, special-attack=60, special-defense=100, speed=81"
131,lapras,187,25,2200,"water, ice","water-absorb, shell-armor, hydration","headbutt, horn-drill, body-slam, take-down, double-edge","hp=130, attack=85, defense=80, special-attack=85, special-defense=95, speed=60"
132,ditto,101,3,40,normal,"limber, imposter",transform,"hp=48, attack=48, defense=48, special-attack=48, special-defense=48, speed=48"
133,eevee,65,3,65,normal,"run-away, adaptability, anticipation","pay-day, double-kick, sand-attack, headbutt, tackle","hp=55, attack=55, defense=50, special-attack=45, special-defense=65, speed=55"
134,vaporeon,184,10,290,water,"water-absorb, hydration","pay-day, double-kick, sand-attack, headbutt, tackle","hp=130, attack=65, defense=60, special-attack=110, special-defense=95, speed=65"
135,jolteon,184,8,245,electric,"volt-absorb, quick-feet","pay-day, double-kick, sand-attack, headbutt, tackle","hp=65, attack=65, defense=60, special-attack=110, special-defense=95, speed=130"
136,flareon,184,9,250,fire,"flash-fire, guts","pay-day, double-kick, sand-attack, headbutt, tackle","hp=65, attack=130, defense=60, special-attack=95, special-defense=110, speed=65"
137,porygon,79,8,365,normal,"trace, download, analytic","headbutt, tackle, take-down, double-edge, ice-beam","hp=65, attack=60, defense=70, special-attack=85, special-defense=75, speed=40"
138,omanyte,71,4,75,"rock, water","swift-swim, shell-armor, weak-armor","bind, slam, sand-attack, headbutt, horn-attack","hp=35, attack=40, defense=100, special-attack=90, special-defense=55, speed=35"
139,omastar,173,10,350,"rock, water","swift-swim, shell-armor, weak-armor","bind, sand-attack, headbutt, horn-attack, horn-drill","hp=70, attack=60, defense=125, special-attack=115, special-defense=70, speed=55"
140,kabuto,71,5,115,"rock, water","swift-swim, battle-armor, weak-armor","scratch, sand-attack, headbutt, body-slam, take-down","hp=30, attack=80, defense=90, special-attack=55, special-defense=45, speed=55"
141,kabutops,173,13,405,"rock, water","swift-swim, battle-armor, weak-armor","scratch, razor-wind, swords-dance, cut, mega-kick","hp=60, attack=115, defense=105, special-attack=65, special-defense=70, speed=80"
142,aerodactyl,180,18,590,"rock, flying","rock-head, pressure, unnerve","razor-wind, wing-attack, whirlwind, fly, headbutt","hp=80, attack=105, defense=65, special-attack=60, special-defense=75, speed=130"
143,snorlax,189,21,4600,normal,"immunity, thick-fat, gluttony","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch","hp=160, attack=110, defense=65, special-attack=65, special-defense=110, speed=30"
144,articuno,261,17,554,"ice, flying","pressure, snow-cloak","razor-wind, gust, whirlwind, fly, headbutt","hp=90, attack=85, defense=100, special-attack=95, special-defense=125, speed=85"
145,zapdos,261,16,526,"electric, flying","pressure, static","razor-wind, whirlwind, fly, headbutt, take-down","hp=90, attack=90, defense=85, special-attack=125, special-defense=90, speed=100"
146,moltres,261,20,600,"fire, flying","pressure, flame-body","razor-wind, gust, wing-attack, whirlwind, fly","hp=90, attack=100, defense=90, special-attack=125, special-defense=85, speed=90"
147,dratini,60,18,33,dragon,"shed-skin, marvel-scale","bind, slam, headbutt, body-slam, wrap","hp=41, attack=64, defense=45, special-attack=50, special-defense=50, speed=50"
148,dragonair,147,40,165,dragon,"shed-skin, marvel-scale","bind, slam, headbutt, horn-drill, body-slam","hp=61, attack=84, defense=65, special-attack=70, special-defense=70, speed=70"
149,dragonite,270,22,2100,"dragon, flying","inner-focus, multiscale","mega-punch, fire-punch, ice-punch, thunder-punch, razor-wind","hp=91, attack=134, defense=95, special-attack=100, special-defense=100, speed=80"
150,mewtwo,306,20,1220,psychic,"pressure, unnerve","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch","hp=106, attack=110, defense=90, special-attack=154, special-defense=90, speed=130"
151,mew,270,4,40,psychic,synchronize,"pound, mega-punch, pay-day, fire-punch, ice-punch","hp=100, attack=100, defense=100, special-attack=100, special-defense=100, speed=100"
